"Id","Institution","Job title","AOS","AOC","Job type","Start time","Contract type","Deadline","How to apply","Date posted","PhilJobs page","Info link","Application link"
"15382","University of Nevada, Reno","Postdoctoral Teaching Fellowship - Philosophy","Open","Open","Postdoc or similar","July 1, 2020","Fixed term","2020-06-06","Online","2020-04-30","http://philjobs.org/job/show/15382","https://www.unr.edu","https://apptrkr.com/1906796"
"15394","Australian Catholic University","Director, Western Civilisation Program","Ancient Greek and Roman Philosophy","Ancient Greek and Roman Philosophy","Senior faculty","","Tenured, continuing or permanent","2020-06-07","Online","2020-05-04","http://philjobs.org/job/show/15394","http://www.perrettlaver.com/candidates","https://candidates.perrettlaver.com/vacancies/1849/director_western_civilisation_program/"
"15386","Seattle University","Instructor","Open","Open","Junior faculty","September 1, 2020","Fixed term","2020-06-05","Online","2020-05-01","http://philjobs.org/job/show/15386","https://seattleu.csod.com/ats/careersite/search.aspx?site=2&c=seattleu","https://seattleu.csod.com/ats/careersite/search.aspx?site=2&c=seattleu"
"15390","Dalhousie University","Postdoctoral Fellowship in Philosophy of Science/Philosophy of Biology","Either philosophy of microbiology and evolutionary biology or the epistemology of models and computer simulations. ","Ideal candidates should have, in addition to background in one or the other of the above two research areas, some familiarity with and interest in feminist epistemologies of science or Indigenous or other ‘non-Western’ ontologies.","Postdoc or similar","Any time after 1 June, 2020.","Fixed term","2020-05-22 (soft)","Online","2020-05-02","http://philjobs.org/job/show/15390","http://dal.peopleadmin.ca/postings/3490","http://dal.peopleadmin.ca/postings/3490"
"15378","Princeton University","Lecturer","Open","Open","Junior faculty","September 1, 2020 or January 16, 2021","Fixed term","---","Online","2020-04-28","http://philjobs.org/job/show/15378","https://www.princeton.edu/acad-positions/position/15981","https://www.princeton.edu/acad-positions/position/15981"
"15366","University of Chicago","John and Daria Barry Foundation Postdoctoral Fellow","Ethics (with some substantive engagement with normative ethics)","Open with preference for Early Modern Ethics, Medieval Ethics, or Kant’s Ethics","Postdoc or similar","August 31, 2020","Fixed term","2020-05-30","Online","2020-04-24","http://philjobs.org/job/show/15366","","http://apply.interfolio.com/75817"
"15370","Rice University","Postdoctoral Research Associate | Public Humanities/Diluvial Houston | Postdoctoral Fellow in Environmental Justice","Environmental Justice","Open","Postdoc or similar","July 01, 2020","Fixed term","2020-05-15","Online","2020-04-24","http://philjobs.org/job/show/15370","https://hrc.rice.edu/node/966","https://jobs.rice.edu/postings/23463"
"15374","Simon Fraser University","Farley Distinguished Visiting Scholar in History","Any area of history, understood to include studies of the past, including the recent past ","Open","Visiting fellowship / Professorship","Flexible within the 2021-22 Academic year ","Fixed term","2020-06-22","Email","2020-04-24","http://philjobs.org/job/show/15374","https://www.sfu.ca/fass/community/scholars-in-residence/farley-scholar.html",""
"15362","University of Gothenburg","Post-doc in Economic Ethics","Economic Ethics, Business Ethics, Professional Ethics, Ethics and Economics, the Political Philosophy of Markets, the Philosophy of Economics","Open","Postdoc or similar","By agreement","Fixed term","2020-06-01","Online","2020-04-22","http://philjobs.org/job/show/15362","https://www.gu.se/english/about_the_university/job-opportunities/vacancies-details/?id=5703","https://www.gu.se/english/about_the_university/job-opportunities/vacancies-details/?id=5703"
"15358","Wake Forest University","Character Education Postdoctoral Fellow Department of Engineering","Open","Open","Postdoc or similar","","Fixed term","2020-05-01 (soft)","Online","2020-04-21","http://philjobs.org/job/show/15358","https://bit.ly/3appizW","https://bit.ly/3appizW"
"15354","University of Adelaide","Lecturer, Level B - Philosophy","Ethics and moral philosophy","Ethics and moral philosphy","Junior faculty","January 2021","Tenured, continuing or permanent","2020-05-19","Online","2020-04-21","http://philjobs.org/job/show/15354","http://arts.adelaide.edu.au","https://careers.adelaide.edu.au/cw/en/job/504012/lecturer-in-philosophy-school-of-humanities"
"15338","Carleton University","Instructor l*","Philosophy of Mind; Information Ethics; Mind, World and knowledge; Introductory Philosophy","Open","Junior faculty","","Fixed term","2020-05-15 (soft)","Email","2020-04-17","http://philjobs.org/job/show/15338","https://carleton.ca/philosophy/",""
"15350","VU University Amsterdam","Assistant Professor of Moral and Political Philosophy","Moral and political philosophy","Open","Junior faculty","","Tenure-track or similar","2020-05-10","Online","2020-04-20","http://philjobs.org/job/show/15350","https://workingat.vu.nl/ad/ud-moral-and-political-philosophy-tenure-track/17jqg6","https://workingat.vu.nl/ad/ud-moral-and-political-philosophy-tenure-track/17jqg6"
"15334","University of Toronto","Postdoctoral Researcher ","German idealism, Analytic philosophy","Open","Postdoc or similar","September 1, 2020 ","Fixed term","2020-05-15 (soft)","Email","2020-04-17","http://philjobs.org/job/show/15334","http://www.philosophy.utoronto.ca",""
"15330","DePauw University","Prindle Post News Analyst","Open","Open","Other (non-academic)","July 1, 2020","Fixed term","2020-06-01","Online","2020-04-14","http://philjobs.org/job/show/15330","http://prindleinstitute.org/newsanalyst","http://prindleinstitute.org/newsanalyst"
"15326","University of Providence","Part-Time Philosophy Instructor","Open","Open","Junior faculty","Early May 2020, or possibly Fall 2020","Fixed term","2020-04-27 (soft)","Email","2020-04-13","http://philjobs.org/job/show/15326","",""
"15322","Stanford University","Post Doctoral Fellowship","Logic, methodology and Philosophy of Science broadly conceived","Logic, Methodology, and Philosophy of Science","Postdoc or similar","September 1, 2020","Fixed term","2020-05-31","Online","2020-04-13","http://philjobs.org/job/show/15322","","http://apply.interfolio.com/75648"
"15318","Wake Forest University","Teacher-Scholar Postdoctoral Fellow The Program for Leadership and Character and The Department of Computer Science","Open","Open","Postdoc or similar","6/1/2020","Fixed term","---","See ad","2020-04-10","http://philjobs.org/job/show/15318","https://wfu.wd1.myworkdayjobs.com/en-US/Staff_Career_Website_live/job/Winston-Salem-NC/Teacher-Scholar-Postdoctoral-Fellow-The-Program-for-Leadership-and-Character-and-The-Department-of-Computer-Science_R0002512","https://wfu.wd1.myworkdayjobs.com/en-US/Staff_Career_Website_live/job/Winston-Salem-NC/Teacher-Scholar-Postdoctoral-Fellow-The-Program-for-Leadership-and-Character-and-The-Department-of-Computer-Science_R0002512"
"15314","McMaster University","Visiting Professorship in Russell and the History of Early Analytic Philosophy","Russell and the History of Early Analytic Philosophy","Russell and the History of Early Analytic Philosophy","Visiting fellowship / Professorship","January 2021 ","Fixed term","2020-05-03","Online","2020-04-06","http://philjobs.org/job/show/15314","https://philos.humanities.mcmaster.ca/","http://www.workingatmcmaster.ca/careers/"
"15310","State University of New York at Binghamton","Visiting Assistant Professor","Epistemology, Metaphysics, Philosophy of Language, or Philosophy of Science ","Open; the department has teaching needs in critical thinking and logic","Junior faculty","September 1, 2020","Fixed term","2020-04-13 (soft)","Online","2020-04-03","http://philjobs.org/job/show/15310","http://binghamton.interviewexchange.com/jobofferdetails.jsp?JOBID=122129","http://binghamton.interviewexchange.com/jobofferdetails.jsp?JOBID=122129"
"15298","Johannes Kepler University of Linz","6-year postdoctoral position","Philosophy of science or philosophy of the social sciences or philosophy of economics or philosophy of medicine","Open","Postdoc or similar","As soon as possible or by October 1, 2020, at the latest","Fixed term","2020-05-06","Online","2020-04-02","http://philjobs.org/job/show/15298","https://www.jku.at/fileadmin/gruppen/80/Stellenausschreibungen_E/4149_Homepage_E_25.03.2020.pdf","http://jku.at/application"
"15302","Johannes Kepler University of Linz","4-year PhD position","Philosophy of science or philosophy of the social sciences or philosophy of economics or philosophy of medicine","Open","Graduate fellowship","October 1, 2020","Fixed term","2020-05-06","Online","2020-04-02","http://philjobs.org/job/show/15302","https://www.jku.at/fileadmin/gruppen/80/Stellenausschreibungen_E/4150_Homepage_E_25.03.2020.pdf","http://jku.at/application"
"15306","Johannes Kepler University of Linz","Fixed-term PhD position (until 31/12/21)","Philosophy of science or philosophy of the social sciences or philosophy of economics or philosophy of medicine","Open","Graduate fellowship","As soon as possible","Fixed term","2020-04-22","Online","2020-04-02","http://philjobs.org/job/show/15306","https://www.jku.at/fileadmin/gruppen/80/Stellenausschreibungen_E/4147_Homepage_E_01.04.2020.pdf","http://jku.at/application"
"15286","University of California at Santa Barbara","Postdoctoral Scholar at The Humanities and Social Change Center","Humanities, arts, and humanistic social sciences ","Open","Postdoc or similar","September 1, 2020","Fixed term","2020-04-28 (soft)","Online","2020-03-30","http://philjobs.org/job/show/15286","http://www.ucsb.edu/","https://apptrkr.com/1868340"
"15294","Leibniz Universität Hannover + Universität Bielefeld","5 Doctoral Candidate Positions (Salary Scale E13 TV-L, 65%) in Ethics of Science and/or Philosophy of Science","Ethics of Science and/or Philosophy of Science","Open","Graduate fellowship","October 1st, 2020","Fixed term","2020-05-31","Email","2020-03-31","http://philjobs.org/job/show/15294","https://grk2073.org/apply/","https://grk2073.org/apply/"
